player_ID;player_name;overall;club;league;nationality;position;age;height;weight
97;Eriksen;87;Tottenham Hotspur;Premier League;Denmark;CAM;26;182;76
98;Pogba;87;Manchester United;Premier League;France;CM;25;191;84
99;Verratti;87;Paris Saint-Germain;Ligue 1 Conforama;Italy;CM;25;165;60
100;Kanté;87;Chelsea;Premier League;France;CDM;27;168;68
101;Mertens;88;Napoli;Calcio A;Belgium;ST;31;169;61
102;Cech;86;Arsenal;Premier League;Czech Republic;GK;36;196;90
103;Pepe;86;Besiktas JK;Süper Lig;Portugal;CB;35;188;81
104;Ribéry;86;FC Bayern München;Bundesliga;France;LM;35;170;72
105;Fàbregas;86;Chelsea;Premier League;Spain;CM;31;180;77
106;Benzema;86;Real Madrid;LaLiga Santander;France;ST;30;187;79
107;Miranda;86;Inter;Calcio A;Brazil;CB;34;186;78
108;Sokratis;86;Borussia Dortmund;Bundesliga;Greece;CB;30;186;85
109;Mertens;86;Napoli;Calcio A;Belgium;CF;31;169;61
110;Martinez;86;FC Bayern München;Bundesliga;Spain;CB;30;190;81
111;Nainggolan;86;Roma;Calcio A;Belgium;CM;30;176;77
112;Diego Costa;86;Chelsea;Premier League;Spain;ST;29;186;87
113;David Luiz;86;Chelsea;Premier League;Brazil;CB;31;189;84
114;Alderweireld;86;Tottenham Hotspur;Premier League;Belgium;CB;29;187;91
115;Reus;86;Borussia Dortmund;Bundesliga;Germany;LM;29;180;75
116;Coutinho;86;Liverpool;Premier League;Brazil;LW;26;171;68
117;Busquets;86;FC Barcelona;LaLiga Santander;Spain;CDM;30;189;76
118;Müller;86;FC Bayern München;Bundesliga;Germany;CF;29;186;75
119;Alex Sandro;86;Juventus;Calcio A;Brazil;LB;27;181;81
120;Lukaku;86;Manchester United;Premier League;Belgium;ST;25;190;94
121;Alaba;86;FC Bayern München;Bundesliga;Austria;LB;26;180;76
122;Isco;86;Real Madrid;LaLiga Santander;Spain;CM;26;176;74
123;Rodríguez;86;FC Bayern München;Bundesliga;Colombia;CAM;27;180;75
124;Kane;86;Tottenham Hotspur;Premier League;England;ST;25;188;86
125;Overmars;86;Icons;Icons;Holland;LW;45;173;72
126;Falcao;86;AS Monaco Football Club SA;Ligue 1 Conforama;Colombia;ST;32;177;72
127;Ruffier;86;AS Saint-Étienne;Ligue 1 Conforama;France;GK;32;188;93
128;Mustafi;86;Arsenal;Premier League;Germany;CB;26;184;82
129;Barzagli;85;Juventus;Calcio A;Italy;CB;37;187;87
130;Kompany;85;Manchester City;Premier League;Belgium;CB;32;193;85
131;Filipe Luís;85;Atlético Madrid;LaLiga Santander;Brazil;LB;33;182;73
132;Matuidi;85;Juventus;Calcio A;France;CDM;31;175;70
133;Vertonghen;85;Tottenham Hotspur;Premier League;Belgium;CB;31;189;88
134;Marchisio;85;Juventus;Calcio A;Italy;CM;32;180;73
135;Pjanic;85;Juventus;Calcio A;Bosnia and Herzegovina;CM;28;180;70
136;Di María;85;Paris Saint-Germain;Ligue 1 Conforama;Argentina;RW;30;180;75
137;Azpilicueta;85;Chelsea;Premier League;Spain;CB;29;178;78
138;Gündocan;85;Manchester City;Premier League;Germany;CM;27;180;80
139;Jordi Alba;85;FC Barcelona;LaLiga Santander;Spain;LB;29;170;68
140;Glik;85;AS Monaco Football Club SA;Ligue 1 Conforama;Poland;CB;30;190;80
141;Ter Stegen;85;FC Barcelona;LaLiga Santander;Germany;GK;26;187;85
142;Leno;85;Bayer 04 Leverkusen;Bundesliga;Germany;GK;26;190;83
143;Subašic;85;AS Monaco Football Club SA;Ligue 1 Conforama;Croatia;GK;33;191;84
144;Mkhitaryan;85;Manchester United;Premier League;Armenia;RM;29;177;75
145;Navas;85;Real Madrid;LaLiga Santander;Costa Rica;GK;31;185;78
146;Lacazette;85;Arsenal;Premier League;France;ST;27;175;73
147;Insigne;85;Napoli;Calcio A;Italy;LW;27;163;59
148;Casemiro;85;Real Madrid;LaLiga Santander;Brazil;CDM;26;184;80
149;Varane;85;Real Madrid;LaLiga Santander;France;CB;25;191;78
150;Carrasco;85;Atlético Madrid;LaLiga Santander;Belgium;LM;25;180;67
151;Valencia;85;Manchester United;Premier League;Ecuador;RB;33;180;83
152;Pereira;85;FC Porto;Liga NOS;Portugal;CDM;27;188;83
153;Aduriz;84;Athletic Club;LaLiga Santander;Spain;ST;37;182;78
154;Gómez;84;Atalanta;Calcio A;Argentina;CF;30;165;68
155;Dani Alves;84;Paris Saint-Germain;Ligue 1 Conforama;Brazil;RB;35;172;68
156;Cahill;84;Chelsea;Premier League;England;CB;32;193;86
157;Koscielny;84;Arsenal;Premier League;France;CB;33;186;75
158;Falcao;84;AS Monaco Football Club SA;Ligue 1 Conforama;Colombia;ST;32;177;72
159;Payet;84;Olympique de Marseille;Ligue 1 Conforama;France;LW;31;175;77
160;Benatia;84;Juventus;Calcio A;Morocco;CB;31;190;92
161;Juan Mata;84;Manchester United;Premier League;Spain;CAM;30;170;63
162;Asenjo;84;Villarreal CF;LaLiga Santander;Spain;GK;29;189;87
163;Fährmann;84;FC Schalke 04;Bundesliga;Germany;GK;30;196;95
164;Khedira;84;Juventus;Calcio A;Germany;CM;31;189;89
165;Willian;84;Chelsea;Premier League;Brazil;RW;30;175;77
166;Džeko;84;Roma;Calcio A;Bosnia and Herzegovina;ST;32;193;84
167;Perišic;84;Inter;Calcio A;Croatia;LM;29;186;79
168;Bruno;84;Villarreal CF;LaLiga Santander;Spain;CM;34;184;73
169;Bürki;84;Borussia Dortmund;Bundesliga;Switzerland;GK;27;187;85
170;Pedro;84;Chelsea;Premier League;Spain;RW;31;169;65
171;Strootman;84;Roma;Calcio A;Holland;CM;28;186;78
172;Herrera;84;Manchester United;Premier League;Spain;CM;29;182;70
173;Mustafi;84;Arsenal;Premier League;Germany;CB;26;184;82
174;Manolas;84;Roma;Calcio A;Greece;CB;27;189;83
175;Koke;84;Atlético Madrid;LaLiga Santander;Spain;CM;26;178;74
176;Horn;84;1. FC Köln;Bundesliga;Germany;GK;25;192;90
177;Koulibaly;84;Napoli;Calcio A;Senegal;CB;27;195;89
178;Morata;84;Chelsea;Premier League;Spain;ST;25;189;85
179;Icardi;84;Inter;Calcio A;Argentina;ST;25;181;75
180;Draxler;84;Paris Saint-Germain;Ligue 1 Conforama;Germany;LW;25;187;72
181;Carvajal;84;Real Madrid;LaLiga Santander;Spain;RB;26;173;73
182;Mané;84;Liverpool;Premier League;Senegal;LW;26;175;69
183;Alli;84;Tottenham Hotspur;Premier League;England;CAM;22;188;80
184;Laporte;84;Athletic Club;LaLiga Santander;France;CB;24;189;85
185;Silva;84;Manchester City;Premier League;Portugal;RM;24;173;64
186;Asensio;84;Real Madrid;LaLiga Santander;Spain;CAM;22;180;75
187;Bailly;84;Manchester United;Premier League;CÃ´te d'Ivoire;CB;24;187;77
188;Valbuena;84;Fenerbahçe SK;Süper Lig;France;LM;34;167;63
189;Bakambu;84;Villarreal CF;LaLiga Santander;Congo DR;ST;27;182;73
190;Kimmich;85;FC Bayern München;Bundesliga;Germany;RB;23;176;70
191;Casillas;83;FC Porto;Liga NOS;Spain;GK;37;185;84
192;Touré;83;Manchester City;Premier League;CÃ´te d'Ivoire;CM;35;189;90
193;Quaresma;83;Be?ikta? JK;Süper Lig;Portugal;RM;35;175;67
194;José Reina;83;Napoli;Calcio A;Spain;GK;36;188;92
195;De Rossi;83;Roma;Calcio A;Italy;CDM;35;184;83
196;Nani;83;Lazio;Calcio A;Portugal;LW;31;175;66
197;Sneijder;83;OGC Nice;Ligue 1 Conforama;Holland;CAM;34;170;72
198;Mascherano;83;FC Barcelona;LaLiga Santander;Argentina;CB;34;174;73
199;Cazorla;83;Arsenal;Premier League;Spain;CM;33;168;66
200;Diego López;83;RCD Espanyol;LaLiga Santander;Spain;GK;36;196;89
201;Juanfran;83;Atlético Madrid;LaLiga Santander;Spain;RB;33;180;72
202;Biglia;83;Milan;Calcio A;Argentina;CDM;32;178;63
203;Perrin;83;AS Saint-Étienne;Ligue 1 Conforama;France;CB;33;181;80
204;Borja Valero;83;Inter;Calcio A;Spain;CAM;33;175;73
205;Schmeichel;83;Leicester City;Premier League;Denmark;GK;31;185;76
206;Valencia;83;Manchester United;Premier League;Ecuador;RB;33;180;83
207;Garay;83;Valencia CF;LaLiga Santander;Argentina;CB;31;188;77
208;Piszczek;83;Borussia Dortmund;Bundesliga;Poland;RB;33;184;79
209;Gameiro;83;Atlético Madrid;LaLiga Santander;France;ST;31;173;70
210;Jonas;83;SL Benfica;Liga NOS;Brazil;ST;34;182;74
211;Schneiderlin;83;Everton;Premier League;France;CDM;28;181;75
212;Sommer;83;Borussia Mönchengladbach;Bundesliga;Switzerland;GK;29;183;79
213;Patrício;83;Sporting CP;Liga NOS;Portugal;GK;30;190;84
214;Banega;83;Sevilla FC;LaLiga Santander;Argentina;CAM;30;174;71
215;Höwedes;83;Juventus;Calcio A;Germany;CB;30;187;82
216;Lallana;83;Liverpool;Premier League;England;CM;30;172;73
217;Mandžukic;83;Juventus;Calcio A;Croatia;ST;32;190;86
218;Gaitán;83;Atlético Madrid;LaLiga Santander;Argentina;LM;30;173;68
219;Adrien Silva;83;Sporting CP;Liga NOS;Portugal;CM;29;175;69
220;Callejón;83;Napoli;Calcio A;Spain;RW;31;178;73
221;Toprak;83;Borussia Dortmund;Bundesliga;Turkey;CB;29;186;83
222;Musacchio;83;Milan;Calcio A;Argentina;CB;28;180;73
223;N'Zonzi;83;Sevilla FC;LaLiga Santander;France;CDM;29;190;75
224;Walker;83;Manchester City;Premier League;England;RB;28;183;83
225;Dost;83;Sporting CP;Liga NOS;Holland;ST;29;196;89
226;Bonaventura;83;Milan;Calcio A;Italy;CM;29;181;75
227;Kagawa;83;Borussia Dortmund;Bundesliga;Japan;CAM;29;175;68
228;Pastore;83;Paris Saint-Germain;Ligue 1 Conforama;Argentina;CM;29;187;78
229;Matic;83;Manchester United;Premier League;Serbia;CDM;30;194;85
230;Otamendi;83;Manchester City;Premier League;Argentina;CB;30;183;81
231;Iago Aspas;83;RC Celta;LaLiga Santander;Spain;ST;31;176;67
232;Gueye;83;Everton;Premier League;Senegal;CDM;29;174;66
233;Matip;83;Liverpool;Premier League;Cameroon;CB;27;195;90
234;Perin;83;Genoa;Calcio A;Italy;GK;25;188;77
235;De Vrij;83;Lazio;Calcio A;Holland;CB;26;189;78
236;Lopes;83;Olympique Lyonnais;Ligue 1 Conforama;Portugal;GK;28;184;81
237;Vitolo;83;UD Las Palmas;LaLiga Santander;Spain;LM;28;184;80
238;Pereira;83;FC Porto;Liga NOS;Portugal;CDM;27;188;83
239;Firmino;83;Liverpool;Premier League;Brazil;ST;27;181;76
240;Van Dijk;83;Southampton;Premier League;Holland;CB;27;193;92
241;Mahrez;83;Leicester City;Premier League;Algeria;RM;27;179;62
242;Umtiti;83;FC Barcelona;LaLiga Santander;France;CB;24;182;75
243;Carvalho;83;Sporting CP;Liga NOS;Portugal;CDM;26;187;83
244;Marquinhos;83;Paris Saint-Germain;Ligue 1 Conforama;Brazil;CB;24;183;75
245;Forsberg;83;RB Leipzig;Bundesliga;Sweden;CAM;26;179;78
246;Belotti;83;Torino;Calcio A;Italy;ST;24;181;72
247;Salah;83;Liverpool;Premier League;Egypt;RW;26;175;71
248;Fabinho;83;AS Monaco Football Club SA;Ligue 1 Conforama;Brazil;CDM;24;188;78
249;Ederson;83;Manchester City;Premier League;Brazil;GK;25;188;86
250;Süle;83;FC Bayern München;Bundesliga;Germany;CB;23;195;97
251;João Mário;83;Inter;Calcio A;Portugal;CM;25;179;72
252;Lemar;83;AS Monaco Football Club SA;Ligue 1 Conforama;France;LM;22;170;58
253;Rulli;83;Real Sociedad;LaLiga Santander;Argentina;GK;26;189;80
254;Giménez;83;Atlético Madrid;LaLiga Santander;Uruguay;CB;23;185;76
255;Keïta;83;RB Leipzig;Bundesliga;Guinea;CM;23;172;64
256;Dembélé;83;FC Barcelona;LaLiga Santander;France;RM;21;178;67
257;Mbappé;83;Paris Saint-Germain;Ligue 1 Conforama;France;ST;19;178;73
258;Fabiacski;83;Swansea City;Premier League;Poland;GK;33;190;83
259;Jarstein;82;Hertha BSC;Bundesliga;Norway;GK;34;190;82
260;Lichtsteiner;82;Juventus;Calcio A;Switzerland;RB;34;182;75
261;David Villa;82;New York City FC;Major League Soccer;Spain;ST;36;175;69
262;Fernandinho;82;Manchester City;Premier League;Brazil;CDM;33;179;67
263;Turan;82;FC Barcelona;LaLiga Santander;Turkey;CM;31;175;76
264;Raffael;82;Borussia Mönchengladbach;Bundesliga;Brazil;CF;33;174;69
265;Gómez;82;VfL Wolfsburg;Bundesliga;Germany;ST;33;189;88
266;Hart;82;West Ham United;Premier League;England;GK;31;196;91
267;Raúl Albiol;82;Napoli;Calcio A;Spain;CB;33;190;82
268;Costil;82;FC Girondins de Bordeaux;Ligue 1 Conforama;France;GK;31;187;88
269;Dembélé;82;Tottenham Hotspur;Premier League;Belgium;CM;31;185;88
270;Moutinho;82;AS Monaco Football Club SA;Ligue 1 Conforama;Portugal;CM;32;170;61
271;Consigli;82;Sassuolo;Calcio A;Italy;GK;31;189;82
272;Baines;82;Everton;Premier League;England;LB;33;170;74
273;Mandanda;82;Olympique de Marseille;Ligue 1 Conforama;France;GK;33;185;82
274;Williams;82;Everton;Premier League;Wales;CB;34;183;77
275;Nasri;82;Antalyaspor;Süper Lig;France;LM;31;175;75
276;Castro;82;Borussia Dortmund;Bundesliga;Germany;CM;31;172;74
277;Viviano;82;Sampdoria;Calcio A;Italy;GK;32;195;90
278;Vela;82;Real Sociedad;LaLiga Santander;Mexico;RW;29;177;75
279;Rose;82;Tottenham Hotspur;Premier League;England;LB;28;174;76
280;Sturridge;82;Liverpool;Premier League;England;ST;29;180;76
281;Naldo;82;FC Schalke 04;Bundesliga;Brazil;CB;36;198;91
282;Begovic;82;Bournemouth;Premier League;Bosnia and Herzegovina;GK;31;199;83
283;Bravo;82;Manchester City;Premier League;Chile;GK;35;184;80
284;Bender;82;Bayer 04 Leverkusen;Bundesliga;Germany;CDM;29;185;81
285;Beñat;82;Athletic Club;LaLiga Santander;Spain;CM;31;175;72
286;Hernández;82;West Ham United;Premier League;Mexico;ST;30;175;73
287;Ivanovic;82;Zenit St. Petersburg;Russian Football Premier League;Serbia;CB;34;185;91
288;Giroud;82;Arsenal;Premier League;France;ST;32;192;88
289;Fazio;82;Roma;Calcio A;Argentina;CB;31;195;85
290;Wijnaldum;82;Liverpool;Premier League;Holland;CM;27;175;69
291;corluka;82;Lokomotiv Moscow;Russian Football Premier League;Croatia;CB;32;192;84
292;Muslera;82;Galatasaray SK;Süper Lig;Uruguay;GK;32;190;84
293;Fejsa;82;SL Benfica;Liga NOS;Serbia;CDM;30;183;80
294;Karnezis;82;Watford;Premier League;Greece;GK;33;190;81
295;Kruse;82;SV Werder Bremen;Bundesliga;Germany;CF;30;180;76
296;Henderson;82;Liverpool;Premier League;England;CDM;28;182;67
297;Arnautovic;82;West Ham United;Premier League;Austria;LM;29;192;83
298;Brahimi;82;FC Porto;Liga NOS;Algeria;LM;28;175;66
299;Giovinco;82;Toronto FC;Major League Soccer;Italy;CF;31;163;61
300;Sigurðsson;82;Everton;Premier League;Iceland;CAM;29;186;77
301;Szczcsny;82;Juventus;Calcio A;Poland;GK;28;196;84
302;Ramsey;82;Arsenal;Premier League;Wales;CM;27;183;76
303;Balotelli;82;OGC Nice;Ligue 1 Conforama;Italy;ST;28;189;88
304;Stindl;82;Borussia Mönchengladbach;Bundesliga;Germany;CF;30;181;80
305;Marlos;82;Shakhtar Donetsk;Ukrayina Liha;Brazil;RM;30;174;69
306;Taison;82;Shakhtar Donetsk;Ukrayina Liha;Brazil;LM;30;172;64
307;Wanyama;82;Tottenham Hotspur;Premier League;Kenya;CDM;27;184;87
308;Trapp;82;Paris Saint-Germain;Ligue 1 Conforama;Germany;GK;28;189;88
309;Parejo;82;Valencia CF;LaLiga Santander;Spain;CM;29;180;75
310;Iborra;82;Leicester City;Premier League;Spain;CDM;30;195;88
311;Clyne;82;Liverpool;Premier League;England;RB;27;175;67
312;Costa;82;Juventus;Calcio A;Brazil;LM;28;170;65
313;Immobile;82;Lazio;Calcio A;Italy;ST;28;185;85
314;Cuadrado;82;Juventus;Calcio A;Colombia;RM;30;179;71
315;Shaqiri;82;Stoke City;Premier League;Switzerland;RM;26;169;72
316;Ruíz;82;Villarreal CF;LaLiga Santander;Spain;CB;29;184;80
317;Medel;82;Be?ikta? JK;Süper Lig;Chile;CDM;31;171;71
318;Baumann;82;TSG 1899 Hoffenheim;Bundesliga;Germany;GK;28;187;82
319;José;82;Real Sociedad;LaLiga Santander;Brazil;ST;26;186;87
320;Pizzi;82;SL Benfica;Liga NOS;Portugal;CM;29;177;72
321;Viera;82;UD Las Palmas;LaLiga Santander;Spain;CM;29;170;64
322;Xhaka;82;Arsenal;Premier League;Switzerland;CDM;26;185;82
323;Acerbi;82;Sassuolo;Calcio A;Italy;CB;30;192;88
324;Son;82;Tottenham Hotspur;Premier League;Korea Republic;LM;26;183;77
325;Lucas;82;Paris Saint-Germain;Ligue 1 Conforama;Brazil;RW;26;172;72
326;Rojo;82;Manchester United;Premier League;Argentina;CB;28;187;80
327;Dier;82;Tottenham Hotspur;Premier League;England;CB;24;188;90
328;Deulofeu;82;FC Barcelona;LaLiga Santander;Spain;LW;24;173;74
329;Suso;82;Milan;Calcio A;Spain;RW;24;176;70
330;Sterling;82;Manchester City;Premier League;England;RW;23;170;69
331;Bellarabi;82;Bayer 04 Leverkusen;Bundesliga;Germany;RM;28;183;80
332;Klaassen;82;Everton;Premier League;Holland;CM;25;179;70
333;Florenzi;82;Roma;Calcio A;Italy;RB;27;173;67
334;Roque Mesa;82;Swansea City;Premier League;Spain;CDM;29;171;74
335;Martínez;82;Real Sociedad;LaLiga Santander;Spain;CB;27;181;77
336;Savic;82;Atlético Madrid;LaLiga Santander;Montenegro;CB;27;187;79
337;Thauvin;82;Olympique de Marseille;Ligue 1 Conforama;France;RW;25;179;70
338;Rüdiger;82;Chelsea;Premier League;Germany;CB;25;190;85
339;Trigueros;82;Villarreal CF;LaLiga Santander;Spain;CM;26;178;71
340;Kovacic;82;Real Madrid;LaLiga Santander;Croatia;CM;24;178;77
341;Vázquez;82;Sevilla FC;LaLiga Santander;Italy;CAM;29;186;82
342;Bacca;82;Villarreal CF;LaLiga Santander;Colombia;ST;32;181;77
343;Felipe;82;FC Porto;Liga NOS;Brazil;CB;29;185;77
344;Saúl;82;Atlético Madrid;LaLiga Santander;Spain;CM;23;181;70
345;Vázquez;82;Real Madrid;LaLiga Santander;Spain;RW;27;173;70
346;Promes;82;Spartak Moscow;Russian Football Premier League;Holland;RM;26;174;72
347;Goretzka;82;FC Schalke 04;Bundesliga;Germany;CM;23;189;79
348;Martial;82;Manchester United;Premier League;France;LM;22;181;76
349;André Gomes;82;FC Barcelona;LaLiga Santander;Portugal;CM;25;188;84
350;Werner;82;RB Leipzig;Bundesliga;Germany;ST;22;180;75
351;Bernardeschi;82;Juventus;Calcio A;Italy;RM;24;183;75
352;Tah;82;Bayer 04 Leverkusen;Bundesliga;Germany;CB;22;192;92
353;Baldé Diao;82;AS Monaco Football Club SA;Ligue 1 Conforama;Senegal;LW;23;184;80
354;Seri;82;OGC Nice;Ligue 1 Conforama;CÃ´te d'Ivoire;CM;27;168;65
355;Fekir;82;Olympique Lyonnais;Ligue 1 Conforama;France;CAM;25;173;78
356;Slimani;82;Leicester City;Premier League;Algeria;ST;30;188;79
357;Tolisso;82;FC Bayern München;Bundesliga;France;CM;24;181;78
358;Bakayoko;82;Chelsea;Premier League;France;CDM;24;185;77
359;Sané;82;Manchester City;Premier League;Germany;LW;22;183;75
360;Donnarumma;82;Milan;Calcio A;Italy;GK;19;196;90
361;Joaquín;82;Real Betis;LaLiga Santander;Spain;RW;37;179;75
362;Eto'O;81;Antalyaspor;Süper Lig;Cameroon;ST;37;179;75
363;Torres;81;Atlético Madrid;LaLiga Santander;Spain;ST;34;186;78
364;Motta;81;Paris Saint-Germain;Ligue 1 Conforama;Italy;CDM;36;187;83
365;Evra;81;Olympique de Marseille;Ligue 1 Conforama;France;LB;37;174;75
366;Mertesacker;81;Arsenal;Premier League;Germany;CB;34;198;90
367;Rooney;81;Everton;Premier League;England;CAM;32;176;83
368;Moyá;81;Atlético Madrid;LaLiga Santander;Spain;GK;34;189;82
369;Schweinsteiger;81;Chicago Fire Soccer Club;Major League Soccer;Germany;CM;34;183;79
370;Enyeama;81;LOSC Lille;Ligue 1 Conforama;Nigeria;GK;36;184;87
371;Srna;81;Shakhtar Donetsk;Ukrayina Liha;Croatia;RB;36;178;72
372;Rodríguez;81;San Lorenzo de Almagro;Primera División;Argentina;CB;34;182;79
373;Gabi;81;Atlético Madrid;LaLiga Santander;Spain;CM;35;180;74
374;Gignac;81;Tigres U.A.N.L.;LIGA Bancomer MX;France;ST;32;187;89
375;Dante;81;OGC Nice;Ligue 1 Conforama;Brazil;CB;34;188;85
376;Ben Arfa;81;Paris Saint-Germain;Ligue 1 Conforama;France;CAM;31;178;74
377;Škrtel;81;Fenerbahçe SK;Süper Lig;Slovakia;CB;33;191;81
378;García;81;Athletic Club;LaLiga Santander;Spain;CAM;32;184;81
